60	90	83	142	0
68	95	92	152	0
67	95	95	152	0
72	97	98	156	0
75	100	103	160	0
25	155	19	63	0
43	166	22	69	0
780	270	4	33	0
220	260	2	32	0
150	250	2	25	0
47	41	69	6	137
192	183	241	28	293
5	17	20	42	14
70	123	10	175	0
72	127	12	179	0
70	130	15	180	0
72	132	18	183	0
80	21	83	21	0
4	4	8	0	57
4340	660	769	40	1444
1190	31	11	5	34
22	50	58	26	0
42	53	90	72	0
60	68	90	73	0
50	60	95	76	0
54	66	102	86	0
50	70	110	28	0
40	75	115	32	0
45	80	120	35	0
50	90	125	30	0
44	63	112	27	0
190	1741	1817	690	0
43	95	130	34	0
40	90	125	35	0
45	95	132	36	0
39	100	120	31	0
26	67	108	26	0
30	20	118	26	0
28	10	73	17	0
50	10	52	5	0
45	10	51	19	0
60	17	2	2	6
55	18	1	1	3
55	5	15	4	40
25	5	9	0	29
110	317	498	22	101
45	60	51	20	0
45	28	48	10	2
42	30	47	12	2
45	31	48	13	3
47	15	50	7	4
45	14	50	8	4
48	10	52	9	5
50	3	55	10	6
25	20	20	7	4
10	17	18	2	2
35	108	137	42	0
13	6	52	20	1
190	10	46	21	30
57	91	179	7	390
539	137	171	90	120
85	95	105	88	2
47	92	102	85	0
50	95	115	93	0
52	98	118	96	0
55	100	117	98	0
57	103	121	102	0
61	6	9	4	8
6	130	7	218	0
6	142	8	253	0
7	152	7	240	0
32	30	52	60	0
36	33	56	61	0
72	115	52	88	0
75	118	54	90	0
77	116	56	92	0
80	120	60	95	0
41	35	51	45	0
57	20	6	23	8
30	90	52	30	0
20	70	52	32	0
30	76	60	30	0
35	82	80	38	0
40	85	52	40	0
42	70	53	48	0
45	60	55	45	0
48	62	56	46	0
50	62	60	47	0
53	80	52	38	0
55	75	55	35	0
188	17	0	3	38
31	135	7	69	0
30	130	7	66	0
28	180	4	64	0
72	50	51	26	0
63	43	52	28	0
14	144	3	102	0
21	169	2	71	0
29	182	2	78	0
35	194	2	75	0
40	198	2	81	0
36	195	2	76	0
30	160	2	63	0
42	88	51	35	0
42	50	51	33	0
45	49	53	35	0
29	123	38	65	0
62	128	40	68	0
60	130	42	67	0
62	131	40	69	0
