H2	CH4	C2H4	C2H6	C2H2
12	30	5	58	0
20	15	0	4	0
15	20	10	8	0
15	20	5	32	0
20	65	0	16	0
30	71	0	70	0
30	71	0	70	0
30	5	2	1	0
35	5	2	1	0
17	0	0	0	0
10	0	0	0	0
130	53	210	23	8
138	50	230	28	8
10	0	0	0	0
8	0	0	0	0
16	2	0	0	0
10	12	6	11	0
10	5	1	1	0
15	8	0	8	0
35	30	37	37	0
50	40	12	40	0
40	30	30	10	0
10	2	0	0	0
10	5	1	1	0
870	110	262	38	913
164	10	85	11	38
10	0	0	0	0
10	30	2	5	0
230	34	52	6	65
10	1	0	2	0
45	50	10	15	0
10	0	0	0	0
10	0	0	0	0
9	5	4	4	0
10	5	4	6	0
9	5	1	1	0
6	5	1	1	0
8	5	1	1	0
11	4	1	1	0
20	16	1	1	0
20	14	1	1	0
16	9	1	2	0
18	12	1	0	0
10	2	0	0	0
1	1	1	1	0
1	1	0	1	0
7	2	0	0	0
17	2	0	0	0
11	2	0	0	0
6	1	0	0	0
17	2	0	0	0
14	4	1	0	0
13	5	1	0	0
15	5	0	0	0
11	2	0	0	0
10	46	50	57	0
36	32	30	10	0
40	38	50	35	0
2	1	1	0	0
4	1	1	0	0
1	0	1	0	0
3	1	1	0	0
3	1	1	0	0
2	1	1	0	0
8	2	1	0	0
2	1	0	0	0
2	0	0	0	0
25	5	1	1	0
18	3	0	1	0
21	3	0	1	0
20	2	0	1	0
5	0	0	0	0
5	0	0	0	0
7	0	0	0	0
7	0	0	0	0
63	4	2	1	0
91	4	2	1	0
10	2	2	2	0
11	2	0	0	0
7	3	1	1	0
15	3	1	1	0
2	2	1	1	0
8	2	0	0	0
21	3	1	1	0
34	4	2	1	0
9	0	0	0	0
82	4	1	1	0
105	7	1	1	0
7	0	0	0	0
17	3	2	2	0
20	8	2	3	0
22	4	3	2	0
12	3	1	1	0
24	3	1	1	0
12	3	1	1	0
15	4	1	2	0
4	3	0	1	0
4	3	1	1	0
10	5	1	1	0
13	5	4	1	0
12	5	4	1	0
12	5	0	0	0
62	6	0	0	0
5	9	6	1	0
8	2	0	0	0
60	10	0	0	0
45	3	0	10	0
12	5	10	3	0
20	26	20	10	0
3	1	0	0	0
68	9	2	1	0
12	6	0	0	0
16	10	0	2	0
11	5	0	0	0
46	10	1	2	0
12	3	0	0	0
16	5	0	1	0
21	6	0	10	0
78	10	0	0	0
7	6	0	0	0
13	6	0	1	0
20	10	1	2	0
50	10	0	0	0
14	2	0	0	0
11	5	1	0	0
14	7	0	0	0
20	10	1	0	0
48	6	0	0	0
10	5	0	0	0
12	9	6	1	0
16	5	10	2	0
20	8	20	10	0
6	2	0	0	0
11	10	4	1	0
12	9	0	2	0
18	5	4	2	0
41	3	7	3	0
18	1	0	1	0
58	5	2	4	0
21	1	2	0	0
5	1	1	1	0
3	0	0	0	0
3	2	0	0	0
40	1	0	0	0
4	2	0	0	0
15	10	0	0	0
51	40	5	2	0
44	50	2	0	0
8	6	1	1	0
20	12	23	11	0
34	10	8	2	0
41	20	1	1	0
19	6	0	0	0
16	15	3	30	0
10	2	0	2	0
13	5	0	0	0
12	3	0	0	0
11	2	0	0	0
11	2	1	1	0
21	1	0	2	0
15	1	0	1	0
22	4	2	4	0
3	4	3	28	0
4	5	2	4	0
5	2	0	0	0
2	2	1	10	0
5	1	0	1	0
2	2	1	8	0
20	8	1	7	0
177	81	90	14	85
2	1	0	7	0
2	9	1	9	0
4	4	1	20	0
50	57	283	61	0
50	43	245	49	0
40	38	230	44	0
97	10	1	2	0
16	1	0	0	0
43	4	0	0	0
49	0	0	4	0
10	0	0	0	0
9	0	0	0	0
4	0	0	0	0
9	0	0	0	0
5	0	0	0	0
10	1	0	0	0
6	0	0	0	0
10	2	0	1	0
14	2	1	2	0
10	2	0	1	0
29	3	26	12	0
11	11	0	5	0
95	1	1	3	0
55	16	0	0	0
41	8	1	2	0
11	1	0	2	0
15	10	0	1	0
10	5	1	0	0
18	20	5	4	0
15	10	6	4	0
20	65	35	16	0
22	60	43	20	0
27	65	49	24	0
20	60	40	27	0
3	0	0	0	0
7	0	0	0	0
9	1	0	0	0
4	0	0	0	0
7	0	0	0	0
3	0	0	0	0
2	0	0	0	0
12	0	0	0	0
9	0	0	0	0
10	10	0	0	0
20	50	1	1	0
10	7	0	1	0
130	50	10	1	8
10	12	0	1	0
10	13	0	2	0
130	53	763	148	14
10	2	1	0	0
15	21	0	10	0
12	5	0	0	0
12	5	0	1	0
24	49	2	35	0
8	2	0	0	0
9	2	0	0	0
10	5	1	2	0
1	0	0	0	0
67	3	4	1	0
48	1	1	0	0
9	0	0	0	0
3	0	0	0	0
20	21	22	5	0
1	0	0	0	0
6	3	1	1	0
4	3	1	1	0
7	1	1	0	0
3	1	1	0	0
2	1	1	0	0
2	1	1	0	0
3	1	2	0	0
10	1	0	0	0
10	1	0	0	0
20	1	0	0	0
20	40	30	65	0
45	31	0	15	0
110	106	162	56	2
25	10	4	25	0
105	74	108	35	4
3	1	2	7	0
79	68	31	69	17
82	65	38	30	18
2	3	1	3	0
82	50	28	82	12
